Date,tau,tau1,tau0,e
2024-07-11,-0.08681522621071516,-0.17836049,-0.0049427645,0.5278887407856708
2024-07-12,-0.06153955399787903,-0.14746067,-0.007377566,0.6133581650522928
2024-07-15,-0.013181322953589907,-0.015628697,0.002314602,0.13639489292456852
2024-07-16,0.009062337656240392,-0.027769776,0.018841032,0.790205432985468
2024-07-17,0.009401178300209121,-0.012787134,0.016063295,0.7690808394941183
2024-07-18,-0.008399325826743919,-0.02727841,0.0064678947,0.5594415296077974
2024-07-19,-0.05759242678851119,-0.07647326,-0.0043959552,0.26195252611664255
2024-07-22,0.01494605565884589,0.013427331,0.015746389,0.6548887057887592
2024-07-23,0.0200756161153635,0.027209124,0.01471261,0.5708398256082022
2024-07-24,0.02499844878208298,0.03394951,0.016537312,0.5140684177149352
2024-07-25,0.023738148186300902,0.026269114,0.015656825,0.23849384240321173
2024-07-26,0.00915218053395802,0.024154117,0.0040865475,0.7475711781084299
2024-07-29,0.04447421276281861,0.06608857,0.0111361025,0.39332826199862103
2024-07-30,0.05436296478386219,0.0650028,0.012255042,0.2017115953412689
2024-07-31,0.02471768200327984,0.06266487,0.01139583,0.7401579369065572
2024-08-01,0.02355468176282301,0.03555567,0.014373112,0.5665504225133945
2024-08-02,0.007013350523014795,0.0038267176,0.014854974,0.28895164976526183
2024-08-05,-0.006719848312993171,-0.01807,0.018765762,0.308128580572474
2024-08-06,-0.01259863374796826,-0.037776258,0.032471385,0.35841236984709574
2024-08-07,-0.03121898848448068,-0.060255468,0.028270446,0.32799977100630406
2024-08-08,-0.036860600466165086,-0.06454714,0.028106619,0.29881720314896143
2024-08-09,0.0010790111558187758,-0.059100933,0.03612228,0.6319881644316775
2024-08-12,-0.008701706326580141,-0.06578446,0.04413381,0.5193199941613958
2024-08-13,-0.00037916001918086514,-0.054798968,0.041160043,0.5671151389132676
2024-08-14,0.018769634582574128,-0.037562836,0.04340217,0.6957631959711311
2024-08-15,0.005040941547059663,-0.031217406,0.037031762,0.5312643105962934
2024-08-16,0.0010602568760314443,-0.021241853,0.028659765,0.4469215813363061
2024-08-19,-0.0019818490153165223,-0.020793954,0.0083975615,0.6444374206658663
2024-08-20,-0.007597256142576967,-0.013978594,-0.004260649,0.6566550679141173
2024-08-21,0.014607186175829012,0.016352115,0.007990214,0.20867611210193157
2024-08-22,-0.00694712621860722,0.0044509275,-0.015539448,0.5701770755047352
2024-08-23,0.015976280082258557,0.025811749,-0.011747538,0.2618651567517031
2024-08-26,0.025322728211809344,0.043356687,-0.0023290636,0.394739244689221
2024-08-27,0.010742303930723259,0.048700634,0.009025411,0.9567263137005578
2024-08-28,0.03409638410487751,0.034973465,0.0039505893,0.028272066506725903
2024-08-29,0.00198858949083419,0.05496031,0.0015129754,0.991101257740656
2024-08-30,0.028234955608157787,0.06136828,0.009028989,0.6330487742726146
2024-09-03,0.03258423445514118,0.042860508,0.025788326,0.6019308733026982
2024-09-04,0.024783446500972042,0.02382454,0.034667604,0.08843493972249782
2024-09-05,0.031367659892572015,0.033220388,0.031278647,0.9541584420843711
2024-09-06,0.02609773145578818,-0.015612238,0.036772795,0.7962192074274813
2024-09-09,-0.019223440117169227,-0.021331785,0.024947882,0.04555661846164169
2024-09-10,-0.006224283393447052,-0.044256438,0.02705999,0.5332874203834365
2024-09-11,0.004951509731564735,-0.040933955,0.015048458,0.8196407078272768
2024-09-12,-0.02588410616506717,-0.030229194,-0.001923603,0.15350634833234664
2024-09-13,-0.012292398532560415,-0.01710316,-0.007295697,0.4905204703544544
2024-09-16,-0.0031116577476445247,-0.0627342,0.018506635,0.7338986936716759
2024-09-17,-0.06096075688260672,-0.070954256,0.012723238,0.11942875441557345
2024-09-18,-0.037887106150009904,-0.06739502,0.01372504,0.3637560403627341
2024-09-19,-0.043719095057809874,-0.06102284,0.003446512,0.2684026556466687
2024-09-20,-0.029738002196645075,-0.03368716,-0.01219277,0.18372967607547902
2024-09-23,0.021621722385884723,0.04100906,-0.007568934,0.3990971351706881
2024-09-24,0.016299498320288805,0.053251598,-0.015645176,0.5363400556517404
2024-09-25,-0.005077141827179522,0.033775087,-0.011668087,0.8549629237203245
2024-09-26,0.0344719913599575,0.037330426,-0.013994505,0.0556929130066788
2024-09-27,0.018417891985035708,0.02443875,0.00297629,0.2805297249321573
2024-09-30,0.042965167497102275,0.076661855,0.036348373,0.8358664539925241
2024-10-01,0.04040366683712808,0.010980149,0.075244606,0.45785056825049675
2024-10-02,0.0166557885779081,-0.0019884717,0.043399468,0.41077564625378854
2024-10-03,0.010995056799483056,-0.032682516,0.046171978,0.5539008669919508
2024-10-04,-0.05112968314129439,-0.06824504,0.0014543002,0.2455597941600511
2024-10-07,-0.025183204228033725,-0.07625987,0.030816488,0.47701159094261053
2024-10-08,-0.02294663878916048,-0.1430847,0.014461874,0.7625558544060957
2024-10-09,-0.03209058476376579,-0.14621326,0.02240897,0.6767949664582917
2024-10-10,-0.026832424955337903,-0.12854946,0.012667923,0.7202869205116627
2024-10-11,-0.07131793320189898,-0.097252585,-0.026284672,0.36544194150238785
2024-10-14,-0.0024255243275121624,-0.0035005223,-0.0019046897,0.6736282944115032
2024-10-15,0.014621363512108198,0.023918515,0.008575716,0.6059618945583047
2024-10-16,0.015349981294039342,0.020711096,0.008831556,0.45128975429240825
2024-10-17,0.014553036068767011,0.020464998,0.012524108,0.7444961665572217
2024-10-18,0.014065637909806897,0.031521376,-0.00073020253,0.5412367079702322
2024-10-21,0.005531976144469803,-0.001494691,0.026375692,0.25211950140132944
2024-10-22,0.022358401485863582,-0.009049938,0.0468077,0.5622926649301496
2024-10-23,0.027046566572583704,-0.02526133,0.04431175,0.7518410272171551
2024-10-24,-0.01797136260615589,-0.03197404,0.013155877,0.31027483343835127
2024-10-25,-0.027879772685015368,-0.03709016,-0.01809758,0.4849465969362925
2024-10-28,-0.07719528838253488,-0.05940204,-0.09336324,0.5239287084051092
2024-10-29,-0.06311074927546854,0.018496366,-0.09554879,0.7155684254467323
2024-10-30,0.0638449627121813,0.09165691,-0.08669209,0.1559411398114149
2024-10-31,-0.04631294759398259,0.060477756,-0.08148877,0.7522245149379952
2024-11-01,-0.06302898905128355,0.08556761,-0.100078136,0.8004309399264418
2024-11-04,-0.03956871765429597,0.008844509,-0.06846413,0.6262330717452387
2024-11-05,0.012368608913317848,0.04144503,-0.08179444,0.23593433383785553
2024-11-06,-0.061937408950854755,0.09371555,-0.08444927,0.8736458732084219
2024-11-07,-0.02164527460073935,0.0900992,-0.057777096,0.755661847668205
2024-11-08,0.039846851309050135,0.07812804,-0.041189127,0.3208355482151786
2024-11-11,-0.00047498063320652525,0.095710635,-0.04341591,0.6913534340720772
2024-11-12,-0.02121856595679007,0.09323847,-0.044840917,0.8289219626009477
2024-11-13,0.04684638162954096,0.07259907,-0.05388676,0.2036013599193595
2024-11-14,-0.014905429765009214,0.07564414,-0.04560195,0.7468246702311666
2024-11-15,0.041418186725757006,0.07440291,-0.036655568,0.2970032222416716
2024-11-18,0.009274554557789388,0.063912615,-0.024259709,0.6196735907870311
2024-11-19,0.00881350789056675,0.04235571,-0.02173965,0.5233171520677768
2024-11-20,0.005461414854965235,0.03791202,-0.02310606,0.531819486909804
2024-11-21,0.0023640042846521554,0.034455594,-0.029203083,0.5041196405917521
2024-11-22,-0.00885824757118052,0.041513532,-0.030692436,0.6976124166215697
2024-11-25,-0.02767864099661911,-0.02828032,-0.02725852,0.588841571753196
2024-11-26,-0.04528964969233172,-0.08083364,-0.035642497,0.7865256092791977
2024-11-27,-0.04833900138598801,-0.059633344,-0.042027324,0.6415046127800791
2024-11-29,-0.06423442827667081,-0.06972054,-0.052807365,0.324368973480197
2024-12-02,-0.08063148517014483,0.06074214,-0.1144846,0.8068039418612823
2024-12-03,0.040934236689456505,0.12120589,-0.10945975,0.3480000416715491
2024-12-04,-0.013980236788016201,0.0939187,-0.10796805,0.5344528052461122
2024-12-05,-0.04184042460501669,0.10640626,-0.099207826,0.7209947847348436
2024-12-06,0.02628711572314204,0.10316339,-0.093414225,0.39107339471704294
2024-12-09,0.02874892301831281,0.12420761,-0.0603152,0.5173272975087673
2024-12-10,-0.004578178437462832,0.111536264,-0.049475566,0.7211547305376144
2024-12-11,0.028980690875960995,0.089939475,-0.04679592,0.44581568922361425
2024-12-12,-0.028154964988248203,0.09006555,-0.04956284,0.8466796260121923
2024-12-13,0.0787728454540644,0.118126936,-0.0463232,0.2393071357660874
2024-12-16,0.011529464106313475,0.08534093,-0.0650733,0.4907213145401493
2024-12-17,-0.028247837174006012,0.0823222,-0.060356114,0.774960360955804
2024-12-18,0.020921655641562644,0.077245004,-0.06906547,0.3849577439622448
2024-12-19,0.004162385977066342,0.07207522,-0.07327528,0.4672349358646952
2024-12-20,-0.050998110083990855,0.035568234,-0.08182506,0.7374044894956295
2024-12-23,-0.07054868649517484,0.009805332,-0.09916039,0.7374247460232917
2024-12-24,-0.05397176843015648,-0.014739604,-0.11384557,0.3958607683364078
2024-12-26,-0.023962276155684088,0.019916369,-0.10186072,0.36031938679143694
2024-12-27,-0.060149072470434134,0.041273024,-0.09843771,0.7259434718391703
2024-12-30,0.050020181213386965,0.086963505,-0.12047523,0.17809269303460282
2024-12-31,0.007639237439203771,0.1346598,-0.08559335,0.5767025858086593
2025-01-02,0.006656416843548792,0.19182517,-0.07875034,0.6843514793505223
2025-01-03,0.0730982681170298,0.20497105,-0.053229317,0.5107381567992807
2025-01-06,0.10413017230638208,0.16171768,-0.0515494,0.2700253111421128
2025-01-07,-0.012230982070295462,0.13963033,-0.05435891,0.7828336872209867
2025-01-08,0.06428120068622223,0.123076886,-0.04838718,0.34290382992444385
2025-01-10,0.08030004617626416,0.10175215,-0.03472124,0.15718889446800002
2025-01-13,-0.011467457241565398,0.0008148763,-0.022438426,0.5281973976594717
2025-01-14,0.022510843666043143,0.06809303,-0.013949473,0.5555923476528282
2025-01-15,0.0024307404337610174,0.05066509,-0.022674885,0.6576815766326455
2025-01-16,-0.009914698127407827,0.050571933,-0.025202215,0.7982489150659201
2025-01-17,0.058988573534789514,0.08291964,-0.017317679,0.23874409780468633
2025-01-21,-0.010141776205432308,0.037719913,-0.049739465,0.5472447913228474
2025-01-22,-0.023753332485252934,0.041084953,-0.037018914,0.8301546146548949
2025-01-23,-0.009926675790680352,0.025175495,-0.031175073,0.6229248775474682
2025-01-24,0.025352690167007724,0.03997747,-0.029414803,0.2107551475230323
2025-01-27,0.006100187555050674,0.036188506,-0.015478072,0.5823555493729251
2025-01-28,0.0037128333116258107,0.06872353,-0.01915441,0.7397840229263221
2025-01-29,0.011380179407261659,0.037803546,-0.018466692,0.4695797835666407
2025-01-30,0.0011489832947642609,0.023870347,-0.018176721,0.5403792605791953
2025-01-31,0.013619180099006912,0.012633442,0.01444074,0.5454207733040483
2025-02-03,0.021606396165457578,0.016944064,0.03713178,0.2309489866610204
2025-02-04,0.02910319744855628,-0.017384024,0.04072068,0.8000595343066009
2025-02-05,0.035530026719114816,0.039051995,0.027627476,0.30828150618350214
2025-02-06,0.04337193667603465,0.0715514,-0.010154302,0.34488977976990987
2025-02-07,0.029991475252661045,0.072863325,0.0063445633,0.644507637228838
2025-02-10,0.045038872755025716,0.08052115,0.004192264,0.46486041893379887
2025-02-11,0.02615314742405672,0.054442618,0.024628866,0.9488732252916143
2025-02-12,0.035284366204709705,0.06421494,0.007981502,0.5144727725798522
2025-02-13,0.022505142521771385,0.03133052,0.0155644035,0.5597685887194794
2025-02-14,0.02307031418920231,0.023729242,0.010067948,0.04823321886282851
2025-02-18,0.03901044618964689,0.08381667,-0.02897029,0.39726422051454896
2025-02-19,0.009585819368394886,0.10484572,-0.021699317,0.7527746835030868
2025-02-20,-0.024062960799691793,0.10380208,-0.031538125,0.9447675991001125
2025-02-21,0.028306178601735496,0.0828464,-0.026256327,0.49989789133786816
2025-02-24,0.00823291275002894,0.09910888,-0.006104105,0.8637333825753712
2025-02-25,0.06412655264389201,0.08761514,-0.016150977,0.2263608561462084
2025-02-26,0.055069024297170345,0.06920666,-0.011463492,0.17525239959709032
2025-02-27,0.03469021004793036,0.055996876,-0.00019140635,0.37920123542650064
2025-02-28,0.018227383811146327,0.04284911,0.015129716,0.8882490775310337
2025-03-03,0.024070210540119468,0.0021837463,0.031977218,0.7346060478637277
2025-03-04,0.026007147368904124,0.02678651,0.022900853,0.2005742178394685
2025-03-05,0.0396072027867783,0.064597316,0.009261123,0.4516052128398867
2025-03-06,0.015858783104904628,0.06805631,0.005723999,0.8374072064741767
2025-03-07,0.04788142375309476,0.07170772,0.005259295,0.35856824310923174
2025-03-10,0.006251163071990052,0.01844343,-0.008620617,0.4504968104204698
2025-03-11,0.003169526424395894,0.0061066104,-0.005851144,0.24562170219737253
2025-03-12,-0.0023927197735515884,-0.0057577277,-0.0015087454,0.7919562033324896
2025-03-13,-0.0020204576831611893,-0.0033434753,0.0008972613,0.3119782543134549
2025-03-14,-0.011121107008740437,-0.013200895,0.012008554,0.08250033158674311
2025-03-17,0.01826954876978344,0.00880338,0.02772975,0.5001576672672902
2025-03-18,0.007290937224564648,-0.00573841,0.012609019,0.7101456728737587
2025-03-19,-0.007033477572882964,-0.014383496,0.0045866193,0.38745248353452066
2025-03-20,0.02393363346210937,0.011803359,0.03849024,0.4545407456250903
2025-03-21,0.028660838684161513,0.029918747,0.027334303,0.48672293300987357
2025-03-24,-0.0016359798532356315,-0.00793551,0.018856168,0.23513011049019367
2025-03-25,0.026857039812731767,-0.022532696,0.032569706,0.8963263599372574
2025-03-26,-0.027446960384419034,-0.03813868,0.014663662,0.20248571128940537
2025-03-27,-0.02004046142571006,-0.037806954,0.014998236,0.3364535345421977
2025-03-28,-0.008402815326279638,-0.046007566,0.0033301087,0.7621913868389338
